uso_scs,condicion_hidrologica,grupo_hidrologico,cn_ii
Plantacion forestal,Buena,C,72
Plantacion forestal,Buena,D,78
Matorral y arbustal,Buena,A,35
Matorral y arbustal,Buena,B,56
Matorral y arbustal,Buena,C,70
Matorral y arbustal,Buena,D,77
Matorral abierto,Regular,A,45
Matorral abierto,Regular,B,66
Matorral abierto,Regular,C,77
Matorral abierto,Regular,D,83
Matorral denso,Buena,A,35
Matorral denso,Buena,B,56
Matorral denso,Buena,C,70
Matorral denso,Buena,D,77
Herbazal natural,Buena,A,30
Herbazal natural,Buena,B,58
Herbazal natural,Buena,C,71
Herbazal natural,Buena,D,78
Vegetacion secundaria,Buena,A,35
Vegetacion secundaria,Buena,B,56
Vegetacion secundaria,Buena,C,70
Vegetacion secundaria,Buena,D,77
Vegetacion secundaria alta,Buena,A,32
Vegetacion secundaria alta,Buena,B,55
Vegetacion secundaria alta,Buena,C,70
Vegetacion secundaria alta,Buena,D,77
Vegetacion secundaria baja,Regular,A,45
Vegetacion secundaria baja,Regular,B,66
Vegetacion secundaria baja,Regular,C,77
Vegetacion secundaria baja,Regular,D,83
Playas y arenales,Buena,A,39
Playas y arenales,Buena,B,61
Playas y arenales,Buena,C,74
Playas y arenales,Buena,D,80
Afloramientos rocosos,Pobre,A,98
Afloramientos rocosos,Pobre,B,98
Afloramientos rocosos,Pobre,C,98
Afloramientos rocosos,Pobre,D,98
Suelo desnudo y rocas,Pobre,A,77
Suelo desnudo y rocas,Pobre,B,86
Suelo desnudo y rocas,Pobre,C,91
Suelo desnudo y rocas,Pobre,D,94
Tierras desnudas y erosionadas,Pobre,A,77
Tierras desnudas y erosionadas,Pobre,B,86
Tierras desnudas y erosionadas,Pobre,C,91
Tierras desnudas y erosionadas,Pobre,D,94
Tierras quemadas,Pobre,A,77
Tierras quemadas,Pobre,B,86
Tierras quemadas,Pobre,C,91
Tierras quemadas,Pobre,D,94
Nieve y glaciares,Pobre,A,98
Nieve y glaciares,Pobre,B,98
Nieve y glaciares,Pobre,C,98
Nieve y glaciares,Pobre,D,98
Humedales y zonas pantanosas,Buena,A,100
Humedales y zonas pantanosas,Buena,B,100
Humedales y zonas pantanosas,Buena,C,100
Humedales y zonas pantanosas,Buena,D,100
Turberas,Buena,A,100
Turberas,Buena,B,100
Turberas,Buena,C,100
Turberas,Buena,D,100
Humedales con vegetacion,Buena,A,100
Humedales con vegetacion,Buena,B,100
Humedales con vegetacion,Buena,C,100
Humedales con vegetacion,Buena,D,100
Humedales costeros y manglares,Buena,A,100
Humedales costeros y manglares,Buena,B,100
Humedales costeros y manglares,Buena,C,100
Humedales costeros y manglares,Buena,D,100
Salitrales y marismas,Pobre,A,98
Salitrales y marismas,Pobre,B,98
Salitrales y marismas,Pobre,C,98
Salitrales y marismas,Pobre,D,98
Playas y sedimentos intermareales,Buena,A,39
Playas y sedimentos intermareales,Buena,B,61
Playas y sedimentos intermareales,Buena,C,74
Playas y sedimentos intermareales,Buena,D,80
Cuerpos de agua,Pobre,A,100
Cuerpos de agua,Pobre,B,100
Cuerpos de agua,Pobre,C,100
Cuerpos de agua,Pobre,D,100
Cuerpos de agua marina,Pobre,A,100
Cuerpos de agua marina,Pobre,B,100
Cuerpos de agua marina,Pobre,C,100
Cuerpos de agua marina,Pobre,D,100
